n_total,n_diabetiques,pct_diab,ROC_AUC,Recall,Precision,F1,TPR,FPR,pos_rate,Sous-groupe,pvalue_Recall,Alerte_Recall,DI
857,10,1.2,0.8093,0.3,0.4286,0.3529,0.3,0.0047,0.0082,18-24,0.0004,True,0.0135
1528,48,3.1,0.7716,0.375,0.1579,0.2222,0.375,0.0649,0.0746,30-34,0.0,True,0.123
1045,20,1.9,0.8021,0.4,0.1667,0.2353,0.4,0.039,0.0459,25-29,0.0001,True,0.0757
1826,92,5.0,0.8361,0.5109,0.2701,0.3534,0.5109,0.0732,0.0953,35-39,0.0,True,0.1571
2129,150,7.0,0.8329,0.5467,0.2477,0.341,0.5467,0.1258,0.1555,40-44,0.0,True,0.2563
2545,236,9.3,0.8237,0.5975,0.2883,0.389,0.5975,0.1507,0.1921,45-49,0.0,True,0.3166
3348,476,14.2,0.811,0.6807,0.3358,0.4497,0.6807,0.2232,0.2882,50-54,0.0,True,0.475
4074,647,15.9,0.8134,0.7496,0.3277,0.456,0.7496,0.2903,0.3633,55-59,0.2779,False,0.5988
3364,739,22.0,0.7355,0.8065,0.3187,0.4569,0.8065,0.4853,0.5559,70-74,0.0224,False,0.9163
4486,872,19.4,0.8161,0.8096,0.3728,0.5105,0.8096,0.3287,0.4222,60-64,0.0079,False,0.6959
4331,964,22.3,0.785,0.8278,0.3631,0.5047,0.8278,0.4158,0.5075,65-69,0.0001,False,0.8365
2578,496,19.2,0.6978,0.8286,0.2628,0.399,0.8286,0.5538,0.6067,80+,0.0025,False,1.0
2311,515,22.3,0.7433,0.8311,0.3059,0.4472,0.8311,0.5406,0.6054,75-79,0.0013,False,0.9979
