number,Best_ROC_AUC,params_dropout_rate,params_learning_rate,params_n_layers,params_weight_decay,state
0,0.8179775481558648,0.2516830102684511,0.00011867901325208435,3,2.0738994916560433e-05,COMPLETE
1,0.8179380941330829,0.4165752338710089,0.00016885007208563147,2,0.0027485643368186778,COMPLETE
2,0.8174379457382644,0.21040213301832184,0.0030842821133399596,3,0.0008049073822910096,COMPLETE
3,0.8180042189579879,0.40311703686112305,0.0028760522401406765,2,1.5244123719368306e-05,COMPLETE
4,0.8179673645809975,0.4298011425703864,0.0024356402539891606,3,2.3482548260796652e-05,COMPLETE
5,0.8177168310476778,0.34861676345167225,0.001237946428531355,2,0.0004368310204741711,PRUNED
6,0.7947140509512853,0.44501275153704695,0.0003302944533894692,3,0.00028466927383430835,PRUNED
7,0.8141909425369603,0.3247110600645087,0.00040898524707423293,2,0.006208250317045916,PRUNED
8,0.8170509014815818,0.3858164236353002,0.0021065420964166835,3,1.2405019712209715e-05,PRUNED
9,0.8081853535460941,0.31285619600727377,0.0002996402695211661,2,0.0070687003863841354,PRUNED
10,0.8168072482138152,0.49067612931614235,0.009036940450833048,2,8.209003599605791e-05,PRUNED
11,0.7912870955772089,0.25100780254202015,0.00010607208026754253,3,4.504403060730404e-05,PRUNED
12,0.8170493508156711,0.28405922989373916,0.005888554413056234,2,9.808828805805586e-05,PRUNED
13,0.8171168438752032,0.2007219964148872,0.0008536908923605067,3,1.0681372875400796e-05,PRUNED
14,0.8181936021765824,0.3685860291873905,0.0007732460125579737,2,3.4989144813395026e-05,COMPLETE
15,0.8179741666617149,0.3822455975282491,0.0007847552786356551,2,0.0001264444001920684,COMPLETE
16,0.8158379223922725,0.47451788753694335,0.004254777827701949,2,4.801436415312313e-05,PRUNED
17,0.8165006887302189,0.38368735106112634,0.001592847671426891,2,3.122306894602261e-05,PRUNED
18,0.8100332912334055,0.35326421616163134,0.0005383356808120052,2,0.00014994137168559455,PRUNED
19,0.8182786542471618,0.4073085683007472,0.0013856438421209697,2,0.001875097946456802,COMPLETE
20,0.8102595874676171,0.35104952239709625,0.0006231620574631031,2,0.001694582208015627,PRUNED
21,0.8181962865226127,0.4083877835507572,0.0012533669562102845,2,0.001156215423092404,COMPLETE
22,0.8113047167452008,0.44688957143149677,0.0012630582572866731,2,0.0014847052036032354,PRUNED
23,0.8123720570315637,0.46122197654859987,0.0016606798505612494,2,0.003507487962986544,PRUNED
24,0.8129158455955824,0.40810681674947824,0.0010813400276662903,2,0.000754088391310676,PRUNED
