number,Best_ROC_AUC,params_dropout_rate,params_learning_rate,params_n_layers,params_weight_decay,state,Optimal_Threshold
0,0.8172937566124826,0.3406364539870345,0.00012556512171522984,2,0.0002957495782010463,COMPLETE,0.3568738102912903
1,0.8174026322540803,0.4297306722410704,0.0073563079793430766,2,2.4945684919481586e-05,COMPLETE,0.34727907180786133
2,0.8171415926334454,0.37092682998460885,0.006136276916921896,2,1.9561126832009597e-05,COMPLETE,0.32044169306755066
3,0.8173939472219001,0.2844147293817487,0.0001048982958738322,2,0.00015336274559910553,COMPLETE,0.35389262437820435
4,0.8169826786969152,0.40191024668852215,0.00042386351525702353,2,0.0006235499742105916,COMPLETE,0.34970104694366455
5,0.8159922820621156,0.25936069680949236,0.0022155548704973086,2,1.891396085778512e-05,PRUNED,0.3545630872249603
6,0.8175721923590898,0.42947258820016765,0.0016661740444880136,2,3.207672053676069e-05,COMPLETE,0.3421086370944977
7,0.8046332014459399,0.2690940092009454,0.000736590228371171,3,0.0005812073665353456,PRUNED,0.35024115443229675
8,0.8174279543677854,0.3863187710488709,0.004958452503729724,2,2.6174231074402597e-05,COMPLETE,0.33970046043395996
9,0.8173282198365769,0.29635664824315056,0.0009421317291329808,2,0.004330743417373882,COMPLETE,0.344137966632843
10,0.8098960931350274,0.4647843502482013,0.0022115495265114665,3,9.602564091579699e-05,PRUNED,0.3427274823188782
11,0.8093483464636947,0.49865915635644037,0.0028398744071812853,3,6.31954892887189e-05,PRUNED,0.3236101567745209
12,0.8174715684753737,0.3440176473537723,0.003868302353463135,2,4.893231955369462e-05,COMPLETE,0.3575740158557892
13,0.8176598733947742,0.33532200969180115,0.003168115707014668,2,0.0024094660232033653,COMPLETE,0.3413872718811035
14,0.8101561782491247,0.21818189411135716,0.0014202585344449488,3,0.004375722950222588,PRUNED,0.3511026203632355
15,0.8026003631372884,0.4410854175911591,0.00045993594692939467,2,0.00216715093484086,PRUNED,0.3952174484729767
16,0.8135693079380647,0.3271872460427941,0.009839772033766712,2,0.001467149628943631,PRUNED,0.3413539528846741
17,0.8111620880584338,0.41317648912506244,0.001456189024991344,3,0.00932730451619735,PRUNED,0.3530731201171875
18,0.7896523223293911,0.4706558090147172,0.00025177203791145337,2,1.039159006755359e-05,PRUNED,0.38445204496383667
19,0.8118751891421488,0.36770257728385863,0.0013971970114075665,2,0.0001800917598734711,PRUNED,0.3626299500465393
20,0.8115746564063142,0.2206178943844024,0.0031773077351723083,3,0.000616215876947082,PRUNED,0.35873115062713623
21,0.817403495544976,0.32602269560805475,0.004176137321712844,2,6.929613989659975e-05,COMPLETE,0.3628472089767456
22,0.8121367239334103,0.31669710627932074,0.0036024539403160835,2,4.336738802899209e-05,PRUNED,0.33307960629463196
23,0.8175176844977088,0.3548287216125285,0.002022880743937523,2,4.0617787219296356e-05,COMPLETE,0.3574255108833313
24,0.8125235434086899,0.3674758750185806,0.002071263204473401,2,1.0837946709486976e-05,PRUNED,0.3645559251308441
