number,Best_ROC_AUC,params_dropout_rate,params_learning_rate,params_n_layers,params_weight_decay,state,Optimal_Threshold
0,0.8161837306634567,0.43977020405709605,0.00018540099030266662,3,0.004000467619227486,COMPLETE,0.34455767273902893
1,0.8179119347900939,0.36884189677745066,0.0025613509265234894,3,1.910421006615533e-05,COMPLETE,0.3428674638271332
2,0.8175346180300695,0.38600646658700877,0.0008540245080970033,2,0.0004448005364399947,COMPLETE,0.34391364455223083
3,0.8178420310314571,0.2093068704866633,0.00026905209074019795,3,2.599372858457029e-05,COMPLETE,0.34048497676849365
4,0.8172179270948298,0.46584648730198897,0.007422348389562052,3,0.005596304449841667,COMPLETE,0.3427155613899231
5,0.8042257118546872,0.4141206885839447,0.00047173694950939976,3,0.0014539766214813196,PRUNED,0.38280847668647766
6,0.8008372331929446,0.49277393179169177,0.0007190537375252767,3,0.00018957018649716994,PRUNED,0.3697274327278137
7,0.8186532899188577,0.23865267534128992,0.0033859543512437178,3,3.553241899766359e-05,COMPLETE,0.35526618361473083
8,0.8180778853618492,0.3102827487747155,0.0046033247395483295,3,0.00014443458944582254,COMPLETE,0.341523677110672
9,0.7799796723336079,0.4666639411788758,0.00024227110982299733,3,1.0433210592587842e-05,PRUNED,0.4468778073787689
10,0.8116661847874618,0.21162876253414972,0.001969982400737453,2,5.2549223361430474e-05,PRUNED,0.3338705003261566
11,0.8179990131510021,0.295993727235988,0.009376781027522837,2,0.00010385471218571975,COMPLETE,0.3431513011455536
12,0.8140125964110241,0.27641503905541176,0.0037401258596324845,3,0.0005169577712251608,PRUNED,0.3433918356895447
13,0.8184597791924715,0.29782876913386064,0.0038870625826198896,3,6.751803496234132e-05,COMPLETE,0.3515726625919342
14,0.8099974760631912,0.24453570585943518,0.0020088308130419754,2,5.8950630555346425e-05,PRUNED,0.33926868438720703
15,0.8143314537177566,0.33850271550464006,0.005434326756681188,3,4.1339054215387196e-05,PRUNED,0.324567586183548
16,0.8044604878858852,0.26615415962060235,0.0012220223939127276,3,8.407308239646787e-05,PRUNED,0.34770867228507996
17,0.8114155632962017,0.32861680347280464,0.003078795810633294,2,1.2884787834115439e-05,PRUNED,0.3199707865715027
18,0.7834493329165559,0.24420319808264868,0.000109580508649303,3,0.00026592183329117257,PRUNED,0.4311886429786682
19,0.8116453094362946,0.24740877563150815,0.0014355863338052382,3,2.89285336358409e-05,PRUNED,0.3328140676021576
20,0.8172673268802697,0.29384385494727394,0.005638306761494427,2,0.001106462774915896,PRUNED,0.33438974618911743
21,0.8128310704296298,0.3178196983528267,0.004005100759536489,3,0.00014152582900389926,PRUNED,0.3464275002479553
22,0.813269156353305,0.3116996668584344,0.00529465241586199,3,8.299915932137456e-05,PRUNED,0.3525759279727936
23,0.8179634716277134,0.3570911580382983,0.009762583380697016,3,0.00015854976191953372,COMPLETE,0.337237685918808
24,0.8180256937262298,0.275507832649184,0.0020430155814582796,3,4.499047881410535e-05,COMPLETE,0.33779850602149963
